name,longitude,latitude
Alca torda,-77.4369,34.1851
Alca torda,-76.5926,34.4715
Alca torda,-75.9338,34.929
Alca torda,-78.9848,33.315
Alca torda,-77.8156,33.9396
Alca torda,-79.4006,32.7936
Alca torda,-78.0732,33.5261
Alca torda,-77.1972,34.447
Alca torda,-78.4563,33.7941
Alca torda,-78.8467,33.3166
Alca torda,-80.1966,32.2644
Alca torda,-76.6531,34.5492
Alca torda,-78.4168,33.6389
Alca torda,-78.2073,33.6863
Alca torda,-79.3173,32.9465
Alca torda,-80.4095,32.1764
Alca torda,-80.0198,32.5026
Alca torda,-77.4657,34.0404
Alca torda,-79.6729,32.6822
Alca torda,-79.2728,32.8257
Alca torda,-78.9839,33.1359
Alca torda,-78.5734,33.6455
Alca torda,-78.3431,33.7234
Alca torda,-77.8488,33.7977
Alca torda,-79.5187,32.8645
Alca torda,-78.5462,33.3978
Alca torda,-76.784,34.5014
Alca torda,-78.7268,33.2082
Alca torda,-77.1724,34.3446
Alca torda,-76.5222,34.3946
Alca torda,-78.7598,33.6717
Alca torda,-78.1092,33.624
Alca torda,-78.184,33.8242
Alca torda,-79.8433,32.6132
Alca torda,-78.392,33.5398
Alca torda,-78.2988,33.6263
Alca torda,-77.8585,33.6052
Alca torda,-77.7048,34.2049
Alca torda,-77.8909,33.6909
Alca torda,-78.652,33.3786
Alca torda,-80.5308,32.1855
Alca torda,-77.5518,34.1257
Alca torda,-78.2003,33.5318
Alca torda,-77.704,33.6407
Alca torda,-77.5423,33.9445
Alca torda,-79.0942,33.2429
Alca torda,-77.777,33.7142
Alca torda,-78.0643,33.7463
Alca torda,-77.5313,34.3079
Alca torda,-77.0295,34.4219
Alca torda,-79.1072,33.1211
Alca torda,-77.5993,34.0355
Alca torda,-80.737,32.0102
Alca torda,-80.1489,32.345
Alca torda,-80.392,32.0622
Alca torda,-77.6639,33.7344
Alca torda,-79.053,33.4113
Alca torda,-78.8355,33.2249
Alca torda,-77.9817,33.5893
Alca torda,-80.0484,31.985
Alca torda,-78.6571,33.5395
Alca torda,-77.7427,33.8428
Alca torda,-77.1487,34.2473
Alca torda,-77.821,33.5173
Alca torda,-76.9257,34.3183
Alca torda,-80.293,32.395
Alca torda,-77.113,34.5062
Alca torda,-77.4068,34.2755
Alca torda,-78.1275,33.4301
Alca torda,-75.445,35.1329
Alca torda,-75.0651,36.3326
Alca torda,-75.0691,36.4358
Alca torda,-75.2584,36.4721
Alca torda,-75.4527,35.8343
Alca torda,-75.3824,35.6729
Alca torda,-75.7292,36.357
Alca torda,-75.5571,36.0797
Alca torda,-75.6227,36.4253
Alca torda,-75.438,36.3162
Alca torda,-75.3159,36.2992
Alca torda,-75.7725,36.5424
Alca torda,-75.2118,36.3573
Alca torda,-75.5398,36.5402
Alca torda,-75.477,36.2075
Alca torda,-75.0489,36.2191
Alca torda,-75.2978,35.7312
Alca torda,-75.6452,36.149
Alca torda,-75.3167,35.9735
Alca torda,-75.286,35.5142
Alca torda,-75.3814,35.5783
Alca torda,-75.4101,36.5348
Alca torda,-75.1997,35.3528
Alca torda,-75.3402,35.8161
Alca torda,-75.6753,35.1569
Alca torda,-75.4756,36.4465
Alca torda,-75.3129,35.2834
Alca torda,-75.5627,35.1486
Alca torda,-76.1495,34.8396
Alca torda,-75.4744,35.9262
Alca torda,-75.4404,35.2365
Alca torda,-75.4224,35.3763
Alca torda,-75.4466,36.0628
Alca torda,-76.7912,34.6116
Alca torda,-76.2586,34.8227
